"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.487964417E0,-4.807433067E-1,-8.134860424E0,2.398610306E0,8.494727756E0
2.497971416E0,1.724503233E0,-4.955431066E0,4.130794734E-1,5.263159041E0
2.507977417E0,2.599557474E0,-1.986376925E0,-1.326942562E0,3.530462988E0
2.517983417E0,2.000550137E0,4.335996920E-1,-1.762146145E0,2.700993999E0
2.527990417E0,1.580086800E0,1.970951970E0,-1.632306383E0,3.007615350E0
2.537996416E0,1.772561206E0,2.655247525E0,-1.673302381E0,3.604476870E0
2.548003417E0,1.741233140E0,2.695343637E0,-1.326154942E0,3.472096931E0
2.558009417E0,1.379456990E0,2.469301974E0,-9.157365364E-1,2.973033339E0
2.568015417E0,1.798558803E0,2.372973774E0,-1.253804419E0,3.230765207E0
2.578022416E0,3.274483158E0,2.743655087E0,-2.646522895E0,5.025332488E0
2.588028417E0,4.263907768E0,3.357563614E0,-4.268725873E0,6.904792788E0
2.598035417E0,3.597166431E0,3.527534571E0,-5.204248218E0,7.243431921E0
2.608041417E0,2.304775651E0,3.243748730E0,-5.666873488E0,6.924402629E0
2.618047416E0,8.563723871E-1,3.028115112E0,-5.362932295E0,6.218030042E0
2.628054417E0,2.252788934E-1,3.013143316E0,-4.522312015E0,5.438849987E0
2.638060417E0,4.466103315E-1,2.877166901E0,-3.185322182E0,4.315533289E0
2.648066417E0,8.648178130E-1,2.804314102E0,-1.577296363E0,3.331658933E0
2.658073416E0,1.533396344E0,3.042494584E0,3.131692690E-1,3.421425527E0
2.668079417E0,2.698190646E0,3.147869596E0,2.585864464E0,4.886308503E0
2.678086542E0,3.466520045E0,3.326989692E0,4.935927093E0,6.888323302E0
2.688092542E0,3.180759892E0,4.099998034E0,6.446388026E0,8.275453822E0
2.698098541E0,3.347826245E0,5.237975543E0,7.630159759E0,9.841934073E0
2.708105542E0,4.415012976E0,5.880675175E0,8.947902896E0,1.158186714E1
2.718111542E0,5.583541895E0,6.127101985E0,9.744596554E0,1.279353277E1
2.728118542E0,6.304397165E0,5.870119196E0,1.008186044E1,1.326075537E1
2.738124541E0,6.859835874E0,5.316838109E0,9.668503813E0,1.299253946E1
2.748130542E0,7.655730802E0,4.257881042E0,9.035549735E0,1.258494832E1
2.758137542E0,8.367569667E0,3.217377203E0,9.077769556E0,1.275827725E1
2.768143542E0,7.915516162E0,2.269627746E0,9.327577811E0,1.244227929E1
2.778150541E0,6.511482739E0,8.907157159E-1,9.252272691E0,1.134889122E1
2.788156542E0,4.827349853E0,-8.096756458E-1,8.921693337E0,1.017622195E1
2.798162542E0,3.134554902E0,-2.689666575E0,8.315555760E0,9.284837549E0
2.808169542E0,1.215266590E0,-4.368819095E0,8.059149506E0,9.247342534E0
2.818175541E0,-3.858074749E-1,-5.494788762E0,7.663374867E0,9.437630280E0
2.828182542E0,-2.036071241E0,-5.887926891E0,7.154854217E0,9.487107464E0
2.838188542E0,-3.550217090E0,-6.703599442E0,6.208427399E0,9.802390404E0
2.848194542E0,-4.520969786E0,-8.321742114E0,5.279338746E0,1.084260011E1
2.858201541E0,-4.211611148E0,-9.855264466E0,4.783373237E0,1.173646308E1
2.868207542E0,-2.496898201E0,-1.121801772E1,5.461302343E0,1.272415991E1
